ISO,combine_k,combine_b,k-10bit,b-10bit,col6,col7
50,0.029387259,0.01768422,0.117549036,0.282947523,8243.368306,4.525159328
75,0.043858374,0.024699579,0.175433496,0.395193265,5523.460573,3.583374909
98,0.057328791,0.032224152,0.229315164,0.515586435,4225.625471,3.131251607
99,0.057912145,0.032623519,0.23164858,0.521976299,4183.060399,3.118859063
100,0.058389565,0.021262644,0.233558261,0.340202305,4148.857751,2.49731539
101,0.059160636,0.021531167,0.236642542,0.344498676,4094.783599,2.480281401
102,0.059812727,0.021743589,0.239250908,0.347897417,4050.141373,2.465312672
200,0.116431256,0.044020089,0.465725022,0.704321421,2080.62688,1.802004521
300,0.174640329,0.076155055,0.698561316,1.218480883,1387.136645,1.580173695
400,0.231643006,0.119313882,0.926572024,1.909022118,1045.790262,1.491167043
600,0.347201501,0.22863405,1.388806006,3.658144802,697.721637,1.377174144
800,0.463723713,0.371026157,1.854894852,5.936418512,522.4015792,1.313538962
1000,0.582891231,0.62976731,2.331564926,10.07627695,415.6006935,1.361452628
1200,0.698737033,0.939407893,2.794948132,15.0305263,346.6969526,1.387117788
1400,0.805314169,1.210901284,3.221256675,19.37442054,300.8142777,1.366435164
1600,0.953681732,1.49823357,3.814726928,23.97173712,254.0155608,1.283471703
2000,1.180974006,2.501196444,4.723896025,40.0191431,205.1272922,1.339163373
2400,1.400710617,3.372299987,5.602842467,53.95679978,172.9479288,1.311036189
2800,1.60551556,4.810251102,6.422062239,76.96401763,150.8861116,1.366058679
3200,1.910509793,5.982059259,7.64203917,95.71294814,126.7986173,1.280194884
